instance,stations,products,vehicles_used,distance,transition_cost,total_cost,transitions,solve_time,valid_local,valid_api
MPVRP_L_001_s182_d9_p10.dat,182,10,8,738803.6051619619,15630.099999999999,754433.7051619618,281,0.3686668872833252,True,True
MPVRP_L_002_s155_d7_p12.dat,155,12,8,1021777.0533383549,14322.8,1036099.853338355,231,0.36396074295043945,True,True
MPVRP_L_003_s153_d10_p9.dat,153,9,7,663792.6797090019,15710.800000000001,679503.479709002,217,0.25539088249206543,True,True
MPVRP_L_004_s124_d10_p10.dat,124,10,5,498583.3696152145,9618.5,508201.8696152145,172,0.1611008644104004,True,True
MPVRP_L_005_s166_d6_p11.dat,166,11,8,891637.488835525,11521.1,903158.588835525,221,0.37955760955810547,True,True
MPVRP_L_006_s109_d10_p11.dat,109,11,5,458443.7141267472,11656.6,470100.3141267472,198,0.1933300495147705,True,True
MPVRP_L_007_s181_d9_p10.dat,181,10,10,989995.5261636048,11943.5,1001939.0261636048,194,0.4704701900482178,True,True
MPVRP_L_008_s146_d8_p11.dat,146,11,8,643286.7894807267,15761.299999999997,659048.0894807267,245,0.3626365661621094,True,True
MPVRP_L_009_s162_d10_p11.dat,162,11,11,1039789.3991194519,17402.5,1057191.8991194519,235,0.43671083450317383,True,True
MPVRP_L_010_s107_d6_p8.dat,107,8,5,461912.13477649615,8774.6,470686.73477649613,125,0.1191246509552002,True,True
MPVRP_L_011_s161_d10_p12.dat,161,12,9,970835.5772959603,13963.300000000003,984798.8772959603,275,0.41083431243896484,True,True
MPVRP_L_012_s176_d7_p11.dat,176,11,10,1044996.420592681,16663.5,1061659.920592681,270,0.5550642013549805,True,True
MPVRP_L_013_s143_d7_p9.dat,143,9,7,748865.8281770343,9168.599999999999,758034.4281770342,181,0.29742860794067383,True,True
MPVRP_L_014_s129_d6_p10.dat,129,10,5,577890.339755662,7444.6,585334.939755662,136,0.20895910263061523,True,True
MPVRP_L_015_s157_d6_p9.dat,157,9,8,720176.5093470642,11388.3,731564.8093470642,249,0.3175475597381592,True,True
MPVRP_L_016_s163_d8_p8.dat,163,8,6,619803.8039252375,15604.8,635408.6039252375,216,0.21098566055297852,True,True
MPVRP_L_017_s189_d7_p10.dat,189,10,7,661795.5944756512,11324.7,673120.2944756511,222,0.34249091148376465,True,True
MPVRP_L_018_s111_d8_p12.dat,111,12,6,634283.5915311534,11073.4,645356.9915311534,165,0.2514786720275879,True,True
MPVRP_L_019_s120_d6_p12.dat,120,12,8,1103975.6319374074,13842.499999999998,1117818.1319374074,235,0.24210286140441895,True,True
MPVRP_L_020_s196_d6_p11.dat,196,11,9,865213.7013615585,17836.999999999996,883050.7013615585,362,0.5363566875457764,True,True
MPVRP_L_021_s181_d8_p9.dat,181,9,9,985241.8064078827,11740.9,996982.7064078827,166,0.3934495449066162,True,True
MPVRP_L_022_s179_d7_p10.dat,179,10,9,762749.7937012208,12768.599999999999,775518.3937012207,227,0.485213041305542,True,True
MPVRP_L_023_s151_d7_p12.dat,151,12,8,707348.033777911,9622.300000000001,716970.333777911,179,0.40972256660461426,True,True
MPVRP_L_024_s145_d9_p11.dat,145,11,8,694630.4029614939,13759.3,708389.702961494,239,0.3476870059967041,True,True
MPVRP_L_025_s134_d6_p8.dat,134,8,6,711431.9124098738,5803.7,717235.6124098737,94,0.19135117530822754,True,True
MPVRP_L_026_s170_d10_p8.dat,170,8,7,829270.4915296307,8148.7,837419.1915296307,105,0.2461376190185547,True,True
MPVRP_L_027_s151_d10_p9.dat,151,9,5,714321.1438900018,10708.000000000002,725029.1438900018,134,0.1720278263092041,True,True
MPVRP_L_028_s182_d6_p9.dat,182,9,6,590631.4460735436,13454.800000000003,604086.2460735437,186,0.2566337585449219,True,True
MPVRP_L_029_s144_d10_p12.dat,144,12,10,1037038.9515986309,15944.3,1052983.2515986308,282,0.3957030773162842,True,True
MPVRP_L_030_s136_d9_p10.dat,136,10,7,570467.6374260023,6675.8,577143.4374260023,128,0.25486278533935547,True,True
MPVRP_L_031_s108_d6_p12.dat,108,12,5,482364.7646880023,10520.2,492884.9646880023,179,0.16817641258239746,True,True
MPVRP_L_032_s170_d8_p11.dat,170,11,8,1091370.4483537881,12284.099999999999,1103654.5483537882,180,0.35178089141845703,True,True
MPVRP_L_033_s189_d8_p8.dat,189,8,6,507111.50876532914,6312.5999999999985,513424.1087653291,123,0.3056459426879883,True,True
MPVRP_L_034_s163_d8_p8.dat,163,8,8,672285.6649495596,10156.000000000002,682441.6649495596,185,0.3223855495452881,True,True
MPVRP_L_035_s163_d6_p10.dat,163,10,8,759358.166103765,9755.800000000001,769113.9661037651,192,0.3559434413909912,True,True
MPVRP_L_036_s166_d7_p8.dat,166,8,6,640119.2328347199,7990.599999999999,648109.8328347199,112,0.24157357215881348,True,True
MPVRP_L_037_s169_d10_p9.dat,169,9,6,530278.706135449,8114.700000000001,538393.406135449,146,0.25156474113464355,True,True
MPVRP_L_038_s157_d8_p10.dat,157,10,8,830242.6415509167,12446.800000000001,842689.4415509168,200,0.2911520004272461,True,True
MPVRP_L_039_s174_d7_p9.dat,174,9,7,618937.2973062451,14080.099999999999,633017.397306245,180,0.27549076080322266,True,True
MPVRP_L_040_s169_d7_p9.dat,169,9,6,745769.6125071816,10521.600000000002,756291.2125071816,181,0.22523069381713867,True,True
MPVRP_L_041_s193_d8_p12.dat,193,12,9,882827.8864769742,14989.7,897817.5864769742,260,0.6116042137145996,True,True
MPVRP_L_042_s183_d8_p8.dat,183,8,8,554207.6785420709,11050.4,565258.0785420709,141,0.30335354804992676,True,True
MPVRP_L_043_s133_d6_p12.dat,133,12,8,850711.9295056247,15730.3,866442.2295056247,275,0.27481627464294434,True,True
MPVRP_L_044_s137_d7_p11.dat,137,11,7,833980.0452565957,10633.8,844613.8452565958,182,0.2687356472015381,True,True
MPVRP_L_045_s145_d10_p10.dat,145,10,7,586209.5394330642,11808.699999999999,598018.2394330641,167,0.2628014087677002,True,True
MPVRP_L_046_s125_d6_p8.dat,125,8,5,511291.2685895681,7675.3,518966.5685895681,127,0.1384129524230957,True,True
MPVRP_L_047_s161_d8_p10.dat,161,10,10,730793.7402627378,9852.800000000001,740646.5402627379,192,0.4615178108215332,True,True
MPVRP_L_048_s169_d8_p8.dat,169,8,6,562214.6629313115,9906.4,572121.0629313115,158,0.18425393104553223,True,True
MPVRP_L_049_s148_d10_p10.dat,148,10,8,635443.0182371645,7110.2,642553.2182371644,115,0.33815932273864746,True,True
MPVRP_L_050_s167_d8_p8.dat,167,8,8,644059.3121852283,9415.900000000001,653475.2121852284,191,0.32550907135009766,True,True
