instance,stations,products,vehicles_used,distance,transition_cost,total_cost,transitions,solve_time,valid_local,valid_api
MPVRP_M_001_s55_d4_p7.dat,55,7,2,58732.01277833784,1553.3,60285.312778337844,39,0.017577648162841797,True,True
MPVRP_M_002_s52_d3_p6.dat,52,6,1,37237.03738069726,696.6000000000003,37933.637380697255,23,0.008830070495605469,True,True
MPVRP_M_003_s59_d5_p7.dat,59,7,2,54876.13712982867,1544.0,56420.13712982867,35,0.0142822265625,True,True
MPVRP_M_004_s41_d3_p5.dat,41,5,1,33858.4652308262,407.0,34265.4652308262,8,0.007169246673583984,True,True
MPVRP_M_005_s38_d3_p6.dat,38,6,1,43160.93892488186,415.19999999999993,43576.13892488186,14,0.005820035934448242,True,True
MPVRP_M_006_s46_d4_p6.dat,46,6,2,66767.74085635111,1393.5,68161.24085635111,31,0.021022558212280273,True,True
MPVRP_M_007_s47_d5_p7.dat,47,7,1,39551.43832731402,966.8,40518.23832731402,21,0.012413740158081055,True,True
MPVRP_M_008_s33_d3_p6.dat,33,6,1,56294.0068845406,1135.5,57429.5068845406,24,0.005764484405517578,True,True
MPVRP_M_009_s38_d4_p7.dat,38,7,2,55735.243426718225,1580.9,57316.14342671823,38,0.015212297439575195,True,True
MPVRP_M_010_s48_d5_p4.dat,48,4,1,46868.411786437464,773.8000000000001,47642.21178643747,26,0.011347532272338867,True,True
MPVRP_M_011_s54_d5_p7.dat,54,7,1,61183.65440048907,994.3999999999999,62178.05440048907,21,0.016533851623535156,True,True
MPVRP_M_012_s42_d5_p4.dat,42,4,1,28866.949339352166,655.3,29522.249339352165,15,0.0060384273529052734,True,True
MPVRP_M_013_s53_d3_p5.dat,53,5,2,56289.46670049389,1378.1,57667.56670049389,33,0.021300554275512695,True,True
MPVRP_M_014_s49_d4_p6.dat,49,6,1,48656.08617716529,1000.5,49656.58617716529,21,0.008687496185302734,True,True
MPVRP_M_015_s48_d5_p4.dat,48,4,1,42795.200718441745,456.5,43251.700718441745,9,0.006722688674926758,True,True
MPVRP_M_016_s58_d3_p4.dat,58,4,1,43529.995574638255,354.5,43884.495574638255,13,0.008153438568115234,True,True
MPVRP_M_017_s48_d5_p6.dat,48,6,1,40153.688043796355,1283.7999999999997,41437.48804379636,26,0.013742923736572266,True,True
MPVRP_M_018_s52_d4_p4.dat,52,4,1,28474.12866107382,302.8,28776.92866107382,8,0.017861604690551758,True,True
MPVRP_M_019_s53_d3_p6.dat,53,6,1,38487.55698293645,1097.1999999999998,39584.756982936444,29,0.015930652618408203,True,True
MPVRP_M_020_s32_d3_p5.dat,32,5,1,23075.985020710967,594.1,23670.085020710965,10,0.010610342025756836,True,True
MPVRP_M_021_s59_d5_p6.dat,59,6,1,53312.46509459999,1145.0,54457.46509459999,27,0.02473926544189453,True,True
MPVRP_M_022_s37_d3_p5.dat,37,5,1,36361.991014265346,1192.1000000000004,37554.091014265345,29,0.00724482536315918,True,True
MPVRP_M_023_s34_d5_p6.dat,34,6,1,34768.36398341573,504.09999999999997,35272.46398341573,14,0.004488468170166016,True,True
