instance,stations,products,vehicles_used,distance,transition_cost,total_cost,transitions,solve_time,valid_local,valid_api
MPVRP_S_001_s9_d1_p2.dat,9,2,1,1038.478684316101,15.6,1054.0786843161009,1,0.005400180816650391,True,True
MPVRP_S_002_s10_d2_p3.dat,10,3,1,2373.8313181903154,61.2,2435.0313181903152,2,0.0006647109985351562,True,True
MPVRP_S_003_s12_d1_p2.dat,12,2,1,1870.3709298532053,60.400000000000006,1930.7709298532054,2,0.0017783641815185547,True,True
MPVRP_S_004_s9_d1_p3.dat,9,3,1,1614.3485540982506,145.3,1759.6485540982505,4,0.0006976127624511719,True,True
MPVRP_S_005_s7_d1_p3.dat,7,3,1,827.5215755641175,93.9,921.4215755641175,2,0.00029206275939941406,True,True
MPVRP_S_006_s11_d2_p3.dat,11,3,1,2343.4556304082885,80.9,2424.3556304082886,2,0.0008676052093505859,True,True
MPVRP_S_007_s13_d2_p2.dat,13,2,1,1650.0329941165355,34.6,1684.6329941165354,1,0.0006890296936035156,True,True
MPVRP_S_008_s11_d2_p3.dat,11,3,1,2348.0055621141473,86.8,2434.8055621141475,2,0.0006747245788574219,True,True
MPVRP_S_009_s10_d1_p3.dat,10,3,1,1845.6337437642753,57.7,1903.3337437642754,3,0.00046062469482421875,True,True
MPVRP_S_010_s11_d1_p2.dat,11,2,1,2096.3632019867996,39.4,2135.7632019867997,1,0.0014493465423583984,True,True
MPVRP_S_011_s8_d1_p2.dat,8,2,1,1099.6293211059271,49.6,1149.229321105927,1,0.00040221214294433594,True,True
MPVRP_S_012_s5_d2_p3.dat,5,3,1,1270.667509958119,58.8,1329.4675099581189,2,0.0003075599670410156,True,True
MPVRP_S_013_s7_d2_p3.dat,7,3,1,1237.353892620154,95.1,1332.453892620154,3,0.0004930496215820312,True,True
MPVRP_S_014_s11_d2_p3.dat,11,3,1,2423.217766317053,66.4,2489.617766317053,2,0.0016705989837646484,True,True
MPVRP_S_015_s15_d1_p2.dat,15,2,1,4811.244610943448,44.0,4855.244610943448,1,0.001971721649169922,True,True
MPVRP_S_016_s9_d1_p2.dat,9,2,1,1032.191016837561,35.9,1068.091016837561,2,0.001203298568725586,True,True
MPVRP_S_017_s14_d2_p3.dat,14,3,1,2971.008261563649,84.4,3055.408261563649,3,0.0014271736145019531,True,True
MPVRP_S_018_s7_d1_p2.dat,7,2,1,1072.9536638291265,26.8,1099.7536638291265,1,0.0004124641418457031,True,True
MPVRP_S_019_s11_d2_p2.dat,11,2,1,1452.0649502335446,34.2,1486.2649502335446,1,0.0006251335144042969,True,True
MPVRP_S_020_s13_d1_p3.dat,13,3,1,2253.8192622557417,105.6,2359.4192622557416,3,0.0013282299041748047,True,True
MPVRP_S_021_s10_d1_p3.dat,10,3,1,1687.7029035248222,65.4,1753.1029035248223,2,0.0012652873992919922,True,True
MPVRP_S_022_s7_d2_p2.dat,7,2,1,1358.7678733734456,40.2,1398.9678733734456,1,0.0006930828094482422,True,True
MPVRP_S_023_s8_d2_p2.dat,8,2,1,929.7014960129218,14.7,944.4014960129218,1,0.0005745887756347656,True,True
MPVRP_S_024_s9_d2_p3.dat,9,3,1,1526.0998875625608,99.9,1625.9998875625608,3,0.0003745555877685547,True,True
MPVRP_S_025_s8_d2_p2.dat,8,2,1,1269.1434482893435,54.8,1323.9434482893435,2,0.0004649162292480469,True,True
MPVRP_S_026_s15_d1_p3.dat,15,3,1,3760.0208003311673,88.4,3848.4208003311674,3,0.0013537406921386719,True,True
MPVRP_S_027_s6_d1_p2.dat,6,2,1,1619.3743548826956,45.3,1664.6743548826955,1,0.0003724098205566406,True,True
MPVRP_S_028_s13_d2_p2.dat,13,2,1,1559.9944782937473,48.9,1608.8944782937474,1,0.0011396408081054688,True,True
MPVRP_S_029_s8_d1_p3.dat,8,3,1,4195.404025811117,52.2,4247.604025811117,2,0.0016129016876220703,True,True
MPVRP_S_030_s7_d2_p2.dat,7,2,1,834.3924772091544,24.0,858.3924772091544,1,0.0005495548248291016,True,True
MPVRP_S_031_s11_d2_p2.dat,11,2,1,1581.079580746629,23.3,1604.379580746629,1,0.0008471012115478516,True,True
MPVRP_S_032_s14_d2_p3.dat,14,3,1,2132.796004896936,57.7,2190.496004896936,3,0.0005967617034912109,True,True
MPVRP_S_033_s13_d1_p2.dat,13,2,1,1483.1115193086484,88.0,1571.1115193086484,2,0.0004277229309082031,True,True
MPVRP_S_034_s10_d1_p3.dat,10,3,1,3774.992623841776,57.6,3832.592623841776,2,0.0021135807037353516,True,True
MPVRP_S_035_s7_d2_p2.dat,7,2,1,930.7704789386287,34.1,964.8704789386287,1,0.0003409385681152344,True,True
MPVRP_S_036_s9_d1_p3.dat,9,3,1,1956.5040776473231,50.4,2006.9040776473232,2,0.00060272216796875,True,True
MPVRP_S_037_s5_d1_p3.dat,5,3,1,1969.7905516555436,84.1,2053.8905516555437,2,0.0004284381866455078,True,True
MPVRP_S_038_s9_d2_p3.dat,9,3,1,2064.8198903225593,57.3,2122.1198903225595,2,0.0008504390716552734,True,True
MPVRP_S_039_s8_d2_p2.dat,8,2,1,1823.941574053076,47.5,1871.441574053076,1,0.00039505958557128906,True,True
MPVRP_S_040_s7_d2_p2.dat,7,2,1,884.3988892222928,42.8,927.1988892222928,1,0.00032806396484375,True,True
MPVRP_S_041_s10_d2_p2.dat,10,2,1,2781.080169255801,44.9,2825.9801692558012,1,0.0011372566223144531,True,True
MPVRP_S_042_s8_d1_p3.dat,8,3,1,1282.9194179646902,26.4,1309.3194179646903,2,0.0005409717559814453,True,True
MPVRP_S_043_s5_d2_p2.dat,5,2,1,684.5101523678468,29.0,713.5101523678468,1,0.0002701282501220703,True,True
MPVRP_S_044_s15_d1_p3.dat,15,3,1,4052.0219168895756,53.3,4105.321916889576,3,0.0015103816986083984,True,True
MPVRP_S_045_s9_d2_p3.dat,9,3,1,1661.5970744746066,92.4,1753.9970744746067,2,0.0006749629974365234,True,True
MPVRP_S_046_s5_d1_p3.dat,5,3,1,1058.0415643607123,83.0,1141.0415643607123,2,0.00026035308837890625,True,True
MPVRP_S_047_s6_d1_p2.dat,6,2,1,1195.2265052031228,47.7,1242.9265052031228,2,0.0002224445343017578,True,True
MPVRP_S_048_s5_d1_p3.dat,5,3,1,954.2565916863372,107.8,1062.0565916863372,3,0.0004150867462158203,True,True
MPVRP_S_049_s14_d1_p2.dat,14,2,1,4036.6990665522035,41.6,4078.2990665522034,1,0.0020554065704345703,True,True
MPVRP_S_050_s6_d2_p3.dat,6,3,1,2457.6270129128347,120.4,2578.027012912835,3,0.0011229515075683594,True,True
